epoch,mean_episode_reward,mean_jain_index,total_policy_loss,total_value_loss
208,808.4210472883673,0.8546197431007636,-6.183018962813729,484.69026831352085
209,809.7882024854816,0.8415877361486472,-4.039074873488403,510.0470292062413
210,749.0339248857534,0.8453168224440358,-4.700861338256791,544.1443625980902
211,725.2583027327724,0.8430220936146978,-4.195874059276334,578.774570364895
212,689.2494105210992,0.8363320688978788,-4.6708193704372905,552.6414010619466
213,742.2130377295321,0.8444317031170979,-5.931703324772336,589.3558789441377
214,805.8777236399111,0.8650810083281208,-7.451073290726349,569.9865160294876
215,843.8850581155098,0.8509276190157452,-7.007253862580121,600.9718781666611
216,816.0771439681673,0.8497371118945092,-10.248521202649194,559.9963725132895
217,808.5000994263725,0.8247814482552122,-8.616109898717559,502.79071739486426
218,795.298764825463,0.827396259800934,-7.174836609651443,445.3562313476867
219,830.1936773901118,0.8276009210213258,-8.156345260699394,463.8403703182175
220,836.1654682573159,0.8155965834781499,-8.086543175709375,448.42782644374705
221,839.5709886148533,0.8288391969685708,-6.500526359564023,398.9152064906731
222,903.5619898545413,0.7897974409781208,-6.652311454599606,422.44789475005615
223,911.9917458865922,0.7773434505817088,-6.860433704956881,402.7278573637028
224,894.3108031782658,0.7943354925221293,-6.5034182189918335,375.01147355327663
225,921.2987994412633,0.8004814829396615,-5.6905561001528735,400.1966272302211
226,896.4289491136011,0.789277862135722,-4.943262495029612,424.6114378475597
227,895.8019012946767,0.7916244098018976,-3.665597599241187,400.94858229412654
228,912.2148227297778,0.7875805567532197,-3.883278802468407,444.89965637361416
229,936.9773131994186,0.8038507494732324,-2.577799995314078,445.73981003892453
230,957.4359023382675,0.7976454143413633,-2.253633642825636,440.53408786421716
231,960.345781288049,0.8095485548501016,-3.0718543260591087,524.2295788916356
232,930.1652598430579,0.785264782594347,-1.9137434525590409,555.896086650153
233,948.8888543546226,0.7978316927796325,-1.9259902254059555,520.0059117907198
234,951.1629911004344,0.7842884585493902,-0.9508704919882044,514.1236165306342
235,926.3980751966591,0.7778607417163304,-0.5379390377125801,491.5746344184752
236,901.7314633296661,0.7827344859461686,-0.29297246660385734,471.29690740363003
237,887.6003141611164,0.7873754846933213,-1.7410568081011815,414.99835642856783
238,866.0469875235434,0.7831065416590843,-1.4301492425031768,474.0126051065499
239,891.776776219604,0.7799077710598158,-1.4491654504058655,433.9114305210376
240,891.2213821398324,0.7741345982814131,-1.126446890067776,400.82219277894467
241,906.8017775670676,0.8047893765414647,-1.2352070385246336,416.89066166290235
242,927.506097318401,0.7967649671037479,-1.0111145567142168,417.3943576941741
243,930.4363802748659,0.7813047714266386,-0.986604382455274,437.31428934399213
244,973.9706885087171,0.8004901879483427,1.1665780750562824,406.62038682847015
245,1000.1403076103375,0.8041570280631097,3.3563810082739547,374.2884554142641
246,974.9486523449142,0.7921691751542292,1.2324852839641478,353.25825454703363
247,952.1746724983033,0.7951770508837533,1.5742412597413074,428.3050881156691
248,980.6873876438848,0.7836389777705053,0.6758265883929494,447.9818549759293
249,941.0803914332655,0.8202681530875924,1.8552667091142365,429.2148288917411
250,889.6863555605391,0.8473456005709006,1.7407268638616187,478.7274813706796
251,841.8535257967081,0.8353581001118251,1.7459705635798017,480.6067051212693
252,828.3515616523308,0.847815098758775,0.6783501341972074,474.91152572041756
253,831.9604306036878,0.85810387543995,1.3899650122860971,429.9258420469028
254,785.937005481619,0.8836574118779202,1.722279024265689,399.98638058464064
255,832.4715647472948,0.8859709045637774,2.9015762083295153,402.687119841045
256,894.2940024937544,0.9210777214126414,2.652612059850442,441.5499578792192
257,913.6552809813088,0.9484503525632884,1.6876885992703374,468.9920162791568
258,945.4080155867964,0.913275562834826,0.5044300866045623,387.42272916875277
259,937.3258105534596,0.9276264079507452,2.0067871387005907,390.38652038554375
260,986.1842769205983,0.9000243787864474,0.303404699345436,388.164612429679
261,997.7062403887776,0.8993704838245655,-1.7640374006944406,384.59981084916745
262,958.572155373632,0.9127639348011662,-1.3974391545975924,347.0046193960732
263,943.1561478535311,0.8915796643633872,-1.4601182518707643,385.21031221612276
264,913.5843664634648,0.901660594673744,-1.990375870243205,353.495398925629
265,910.373455664828,0.8809557482253566,-2.544025175590387,305.5802832220751
266,969.3152096523197,0.8816610192647911,-3.243750683582973,314.13947965144393
267,965.9453681615948,0.8772416272741267,-2.629583983539548,344.43978805333614
268,950.030333733279,0.865725262461233,-2.9046356806911917,252.36294146391276
269,904.5746018673225,0.8930627478101235,-1.259667967189908,242.40149988165763
270,921.8713107589955,0.8992877509009942,1.8192128412653297,287.1844963390407
271,918.0337830145725,0.8801769420889857,0.21276652100775717,295.32304177372964
272,895.3432606560434,0.8517318678970321,-0.4338063632347694,252.06112162915383
273,945.9575097082204,0.8693646630360211,-0.44177900455138674,311.2588871847549
274,948.278558937649,0.8521389790094558,1.0813450727182705,332.81528893214124
275,917.1611743078553,0.8483322054477836,0.20572681933351333,277.5032996935678
276,944.9465007338046,0.8865205382571862,-1.1928407544856279,300.02206916119064
277,925.4272236601497,0.8767780305818923,-1.785234678724497,265.462438373998
278,926.8828724984945,0.8601590282536715,-1.5147778529446583,263.4529139960325
279,919.7144310925022,0.8420077550128395,-2.091549183512991,293.66856302906274
280,934.7419467212336,0.8224566501168685,-1.9922168780837652,323.7240479639343
281,884.6597882875924,0.8333238539644672,-2.654840637029612,346.5479947076607
282,861.7620135913169,0.7972262119511768,-4.282383074912774,348.47139257411595
283,869.5536886429613,0.7791398794490887,-3.6437906161354,282.01059008335756
284,867.5712946835419,0.7549195554538396,-4.295626723937559,283.9065369360141
285,841.7588937250233,0.7472284445692431,-3.2893339147231186,260.83086215508814
286,866.8296570869776,0.7246343074760907,-2.7595297368078358,318.4936069814041
287,792.6803220831589,0.7086964023666812,-2.1824576096272956,310.3717915396844
288,803.8146982842982,0.6966166986323648,-2.095867822154396,304.14470212400124
289,838.8481601340924,0.701705115498389,-1.7582651600791936,287.66962347910254
290,824.2199734119175,0.6930539517419966,-1.3638130177008967,270.830244246292
291,832.9132191188099,0.7345619677149053,-0.49268831426920434,257.7893029595784
292,868.9496367837282,0.7264004602544744,-2.530812849447058,217.46585052288222
293,812.8258791529526,0.7193701905736481,-2.5123944702575063,284.5233430138935
294,822.6337003658774,0.7149881799974709,-1.682988889074017,196.0779306535781
295,829.7021371091344,0.7304054838752102,-3.1615751348538588,241.82809238185527
296,839.8570293339668,0.7220997255971942,-2.528793268747574,332.65580669403107
297,845.3130169857217,0.7270641373232009,-2.988154168287818,298.6620319154394
298,870.2230914820491,0.7099424608050235,-2.9165879310684257,279.5557340448347
299,884.5924862544408,0.7166157029107625,-1.8790479868105265,259.15507809064485
300,876.4962381956396,0.6970404285951164,-2.3233412468866383,274.24709781243894
301,899.2058966950002,0.6785971221115639,-1.4537353267809783,328.472612164637
302,911.6089437917112,0.7161330383627251,-2.2275245258845513,278.6864240321803
303,858.2473363245829,0.7460539245925087,-1.5731588695304937,276.46303719576207
304,866.6463951141775,0.7235441436465412,0.8725931100863327,281.63188447477114
305,869.9282389523243,0.7380594761245151,1.3536023418230458,290.5872454459364
306,846.2140052889649,0.747488843267235,3.2356268382980797,344.4040472921355
307,894.0096040881468,0.7372645297386112,2.2460220180394987,339.37257048814956
308,895.6813514568076,0.7591483601080302,0.5535573883246794,400.5545832665741
309,890.941114499438,0.7506107387090818,-0.4585469869354881,334.36031639194334
310,915.6362320182953,0.7520770980528498,-1.748507886676542,282.5571655093987
311,905.5626910395915,0.7854575285586377,-2.008099238040147,222.43144738467447
312,898.1903991170132,0.7800030571636843,-4.704985880981718,220.25965272396198
313,891.2623632107528,0.7939271844599527,-2.8560297860363733,265.3222539058723
314,883.1957024941079,0.7717966662851193,-0.2826699827865129,267.6909912664518
315,883.6135812514963,0.7713141645429192,-0.08458522201865795,261.9165747894941
316,866.4037210450891,0.7603769857181114,-0.11733849223465634,240.17958394414353
317,845.0183475647742,0.7625055902719493,-0.37231570965551164,300.33930348745105
318,765.4892533129839,0.7843357273103986,0.8737694828421174,217.40369419112506
319,755.2086254905735,0.7769069099904827,-0.5337422118757038,186.29102668749005
320,721.8913501265986,0.8119523188589551,0.40193618127175734,237.1532304872564
